Name,Designator,Footprint,Quantity,Notes,Source,Part #,Price per 1,Price per 10,Price per 100,URL
556,U3,SO-14-WIDE,1,556 dual timer (SMT),Mouser,595-NE556NSR,0.49,0.412,0.251,https://www.mouser.com/ProductDetail/595-NE556NSR
40106,U1,SO14,1,40106 hex inverter (SMT),Mouser,771-HEF40106BTD-T,0.42,0.314,0.17,https://www.mouser.com/ProductDetail/771-HEF40106BTD-T
TLV2774INE4,"U6,U7",SO14,2,TLV2774 quad op-amp (SMT),Mouser,595-TLV2774CDR,3.12,2.81,2.3,https://www.mouser.com/ProductDetail/595-TLV2774CDR
4046,U2,SO16,1,4046 PLL (SMT),Mouser,595-CD4046BNSR,0.51,0.419,0.256,https://www.mouser.com/ProductDetail/595-CD4046BNSR
SPDT on-on,"G$3,G$4,G$5,G$6, G$7,G$9, G$8,G$10,G$11",SUBMINI_TOGGLE,9,Mountain-style submini,Smallbear or Thonk,10TC410,1.8,1.75,1.6,https://smallbear-electronics.mybigcommerce.com/spdt-on-on-mountain-10tc410/
7805,U25,TO-220-ALT,1,5vdc regulator,Tayda,A-179,0.23,0.23,0.23,https://www.taydaelectronics.com/lm7805-l7805-7805-voltage-regulator-ic-5v-1-5a.html
2N3904,Q1,TO-92V,1,transistor,Tayda,A-111,0.02,0.02,0.02,https://www.taydaelectronics.com/2n3904-npn-general-propose-transistor.html
SPDT on-off-on,"G$1,G$2",SUBMINI_TOGGLE,2,Mountain-style submini,Thonk,DW2,1.79 pounds,1.79 pounds,1.79 pounds,https://www.thonk.co.uk/shop/sub-mini-toggle-switches/
M3 screw 6mm,,,4,,Amazon,,0.11,0.11,0.11,https://smile.amazon.com/Uxcell-a15070200ux0064-Stainless-Phillips-Screws/dp/B012TE12CY
M3 .5mm washer,,,3,,Amazon,,0.03,0.03,0.03,https://smile.amazon.com/gp/product/B01N99WRP8/
M3 10mm F-F standoff,,,4,,Amazon,,0.09,0.09,0.09,https://smile.amazon.com/gp/product/B07JZQ7YVF/
M3 8mm M-F standoff,,,3,,Amazon,,0.06,0.06,0.06,https://smile.amazon.com/gp/product/B01C7WUH4M/
